Bus;Dir;ID;Count;Time;Len;D0;D1;D2;D3;D4;D5;D6;D7;Period
CAN 1;In;0x101;79;344.9956;8;50;0A;28;05;54;FF;B8;40;0.1128
CAN 1;In;0x201;79;344.9964;8;50;0A;3E;00;02;FF;FF;FF;0.1130
CAN 1;In;0x101;80;345.1092;8;21;0B;60;05;A0;FF;E0;40;0.1135
CAN 1;In;0x201;80;345.1099;8;21;0B;E0;00;13;FF;F9;FF;0.1135
CAN 1;In;0x101;81;345.2216;8;11;0C;10;05;F4;FE;C8;40;0.1124
CAN 1;In;0x201;81;345.2223;8;11;0C;63;00;11;FF;F3;FF;0.1124
CAN 1;In;0x101;82;345.3397;8;F0;0C;58;05;BC;FF;5C;40;0.1181
CAN 1;In;0x201;82;345.3487;8;F0;0C;75;01;1E;FF;ED;FF;0.1264
CAN 1;In;0x201;83;345.4539;8;F1;0C;27;00;09;FF;01;00;0.1052
CAN 1;In;0x101;83;345.4541;8;F1;0C;F0;04;94;FF;38;41;0.1143
CAN 1;In;0x101;84;345.5515;8;F0;0C;E0;04;60;FF;58;41;0.0974
CAN 1;In;0x201;84;345.5526;8;F0;0C;EA;01;1E;FF;F2;FF;0.0987
CAN 1;In;0x101;85;345.6644;8;F1;0C;CC;04;C4;FF;CC;40;0.1130
CAN 1;In;0x201;85;345.6653;8;F1;0C;33;FE;0B;FF;E0;FF;0.1127
CAN 1;In;0x101;86;345.7775;8;F0;0C;D0;04;DC;FE;7C;40;0.1131
CAN 1;In;0x201;86;345.7783;8;F0;0C;AA;00;10;FF;F8;FF;0.1130
CAN 1;In;0x101;87;345.8905;8;F1;0C;E8;04;E0;FE;18;41;0.1130
CAN 1;In;0x201;87;345.8913;8;F1;0C;84;01;14;FF;E1;FF;0.1131
CAN 1;In;0x101;88;346.0036;8;00;0D;08;05;3C;FF;1C;41;0.1131
CAN 1;In;0x201;88;346.0043;8;00;0D;65;01;16;FF;EA;FF;0.1130
CAN 1;In;0x101;89;346.1165;8;F0;0C;24;05;28;00;DC;40;0.1129
CAN 1;In;0x201;89;346.1173;8;F0;0C;0D;01;29;FF;F9;FF;0.1130
CAN 1;In;0x101;90;346.2297;8;F1;0C;30;05;5C;FF;C0;40;0.1132
CAN 1;In;0x201;90;346.2302;8;F1;0C;B9;00;21;FF;FF;FF;0.1129
CAN 1;In;0x101;91;346.3427;8;C1;0C;24;05;6C;FF;54;41;0.1130
CAN 1;In;0x201;91;346.3435;8;C1;0C;E1;00;FE;FE;E8;FF;0.1133
CAN 1;In;0x101;92;346.4554;8;80;0C;54;05;94;FF;C0;40;0.1127
CAN 1;In;0x201;92;346.4561;8;80;0C;31;00;32;FF;01;00;0.1126
CAN 1;In;0x101;93;346.5687;8;11;0C;E0;04;A8;FF;D8;40;0.1133
CAN 1;In;0x201;93;346.5692;8;11;0C;DC;00;1B;FF;F7;FF;0.1131
CAN 1;In;0x101;94;346.6813;8;80;0B;F0;04;70;FF;9C;40;0.1126
CAN 1;In;0x201;94;346.6822;8;80;0B;53;00;14;FF;ED;FF;0.1130
CAN 1;In;0x101;95;346.7946;8;E1;0A;24;05;60;FF;F0;40;0.1133
CAN 1;In;0x201;95;346.7951;8;E1;0A;0B;00;21;FF;ED;FF;0.1129
CAN 1;In;0x101;96;346.9073;8;81;0A;34;05;54;FF;C4;40;0.1127
CAN 1;In;0x201;96;346.9341;8;81;0A;DE;00;11;FF;ED;FF;0.1390
CAN 1;In;0x201;97;347.0199;8;21;0A;BE;00;14;FF;0C;00;0.0858
CAN 1;In;0x101;97;347.0360;8;21;0A;60;05;B4;FF;18;41;0.1287
CAN 1;In;0x101;98;347.1193;8;B1;09;48;05;D8;FE;E8;40;0.0832
CAN 1;In;0x201;98;347.1200;8;B1;09;21;00;13;FF;FA;FF;0.1001
CAN 1;In;0x101;99;347.2324;8;61;09;14;05;10;FF;68;40;0.1131
CAN 1;In;0x201;99;347.2332;8;61;09;85;00;23;FF;E7;FF;0.1131
CAN 1;In;0x101;100;347.3504;8;21;09;30;05;70;FF;F0;40;0.1180
CAN 1;In;0x201;100;347.3620;8;21;09;A2;00;26;FF;E8;FF;0.1288
CAN 1;In;0x101;101;347.4564;8;21;09;08;05;8C;FF;2C;41;0.1061
CAN 1;In;0x201;101;347.4716;8;21;09;DB;FF;14;FF;FA;FF;0.1097
CAN 1;In;0x201;102;347.5675;8;20;09;77;00;FE;FE;F1;FF;0.0959
CAN 1;In;0x101;102;347.5838;8;20;09;6C;05;24;FF;D0;40;0.1273
CAN 1;In;0x101;103;347.6682;8;20;09;2C;05;68;FF;08;41;0.0845
CAN 1;In;0x201;103;347.6789;8;20;09;15;01;20;FF;F2;FF;0.1114
CAN 1;In;0x201;104;347.7884;8;31;09;79;00;22;FF;EB;FF;0.1095
CAN 1;In;0x101;104;347.7885;8;31;09;08;05;E8;FE;18;41;0.1202
CAN 1;In;0x101;105;347.8801;8;31;09;E8;04;E4;FE;D8;40;0.0917
CAN 1;In;0x201;105;347.8915;8;31;09;A5;00;1B;FF;E5;FF;0.1030
CAN 1;In;0x101;106;347.9859;8;31;09;D4;04;24;FF;70;41;0.1058
CAN 1;In;0x201;106;348.0013;8;31;09;94;01;1A;FF;F3;FF;0.1099
CAN 1;In;0x201;107;348.0947;8;31;09;E5;FF;1B;FF;F9;FF;0.0934
CAN 1;In;0x101;107;348.1106;8;31;09;10;05;44;FF;BC;40;0.1247
CAN 1;In;0x101;108;348.1980;8;41;09;FC;04;84;FF;6C;40;0.0874
CAN 1;In;0x201;108;348.1992;8;41;09;64;00;19;FF;EC;FF;0.1045
CAN 1;In;0x101;109;348.3117;8;60;09;38;05;F0;FE;7C;40;0.1137
CAN 1;In;0x201;109;348.3129;8;60;09;DE;00;17;FF;FF;FF;0.1137
CAN 1;In;0x101;110;348.4257;8;60;09;30;05;54;FF;30;41;0.1140
CAN 1;In;0x201;110;348.4373;8;60;09;8E;00;0E;FF;E3;FF;0.1245
CAN 1;In;0x201;111;348.5390;8;A0;09;62;00;1C;FF;F2;FF;0.1017
CAN 1;In;0x101;111;348.5390;8;A0;09;D0;04;F8;FE;DC;40;0.1133
CAN 1;In;0x101;112;348.6369;8;90;0A;64;05;30;FF;3C;41;0.0979
CAN 1;In;0x201;112;348.6377;8;90;0A;9C;00;08;FF;EF;FF;0.0987
CAN 1;In;0x101;113;348.7500;8;20;0B;FC;04;0C;FF;B8;40;0.1131
CAN 1;In;0x201;113;348.7507;8;20;0B;F5;00;0C;FF;E1;FF;0.1131
CAN 1;In;0x101;114;348.8629;8;80;0B;C8;04;EC;FE;3C;40;0.1129
CAN 1;In;0x201;114;348.8635;8;80;0B;BC;00;09;FF;FA;FF;0.1128
CAN 1;In;0x101;115;348.9759;8;11;0C;68;05;34;FF;2C;41;0.1131
CAN 1;In;0x201;115;348.9764;8;11;0C;B7;00;19;FF;FB;FF;0.1128
CAN 1;In;0x101;116;349.0888;8;A0;0C;1C;05;FC;FE;F4;40;0.1128
CAN 1;In;0x201;116;349.0894;8;A0;0C;0E;01;0B;FF;E4;FF;0.1131
CAN 1;In;0x101;117;349.2019;8;F0;0C;F8;04;C0;FF;A0;40;0.1131
CAN 1;In;0x201;117;349.2023;8;F0;0C;E6;00;0F;FF;E3;FF;0.1129
CAN 1;In;0x101;118;349.3147;8;F1;0C;84;04;08;FF;70;41;0.1128
CAN 1;In;0x201;118;349.3154;8;F1;0C;BB;00;15;FF;EB;FF;0.1130
CAN 1;In;0x201;119;349.4580;8;F0;0C;2D;01;09;FF;E1;FF;0.1426
CAN 1;In;0x101;119;349.4582;8;F0;0C;7C;05;AC;FF;2C;41;0.1435
CAN 1;In;0x201;120;349.5497;8;F1;0C;54;00;1A;FF;E1;FF;0.0917
CAN 1;In;0x101;120;349.5653;8;F1;0C;44;05;9C;FF;BC;40;0.1071
CAN 1;In;0x201;121;349.6729;8;F0;0C;F5;00;0C;FF;F2;FF;0.1232
CAN 1;In;0x101;121;349.6731;8;F0;0C;4C;05;38;FF;F4;40;0.1078
CAN 1;In;0x101;122;349.7536;8;F1;0C;CC;04;38;FF;BC;40;0.0805
CAN 1;In;0x201;122;349.7543;8;F1;0C;1E;01;27;FF;ED;FF;0.0814
CAN 1;In;0x101;123;349.8669;8;F0;0C;74;05;A4;FF;C8;40;0.1133
CAN 1;In;0x201;123;349.8778;8;F0;0C;8A;FF;07;FF;FF;FF;0.1235
CAN 1;In;0x101;124;349.9717;8;00;0D;08;05;00;FF;28;40;0.1047
CAN 1;In;0x201;124;349.9875;8;00;0D;7A;FE;FA;FE;F5;FF;0.1097
CAN 1;In;0x201;125;350.0834;8;F0;0C;2C;00;28;FF;EB;FF;0.0959
CAN 1;In;0x101;125;350.0991;8;F0;0C;38;05;DC;FE;BC;40;0.1274
CAN 1;In;0x101;126;350.1837;8;01;0D;9C;04;CC;FE;B4;40;0.0847
CAN 1;In;0x201;126;350.1943;8;01;0D;B9;00;20;FF;E6;FF;0.1109
CAN 1;In;0x201;127;350.3035;8;F1;0C;92;00;1D;FF;F8;FF;0.1092
CAN 1;In;0x101;127;350.3037;8;F1;0C;7C;05;0C;FF;3C;41;0.1200
CAN 1;In;0x101;128;350.3955;8;F0;0C;00;06;7C;FE;BC;40;0.0918
CAN 1;In;0x201;128;350.4209;8;F0;0C;A2;00;01;FF;13;00;0.1173
CAN 1;In;0x101;129;350.5004;8;F0;0C;48;05;3C;FE;94;40;0.1049
CAN 1;In;0x201;129;350.5011;8;F0;0C;AB;00;21;FF;F8;FF;0.0803
CAN 1;In;0x101;130;350.6133;8;F0;0C;1C;05;A4;FE;98;40;0.1129
CAN 1;In;0x201;130;350.6141;8;F0;0C;AE;00;1B;FF;F8;FF;0.1130
CAN 1;In;0x101;131;350.7265;8;F1;0C;E8;04;D0;FE;74;40;0.1131
CAN 1;In;0x201;131;350.7271;8;F1;0C;97;00;11;FF;02;00;0.1130
CAN 1;In;0x101;132;350.8394;8;F1;0C;34;05;B4;FE;B4;40;0.1129
CAN 1;In;0x201;132;350.8402;8;F1;0C;9B;00;1D;FF;F1;FF;0.1130
CAN 1;In;0x101;133;350.9523;8;F1;0C;10;05;98;FE;94;40;0.1129
CAN 1;In;0x201;133;350.9531;8;F1;0C;9C;00;12;FF;EC;FF;0.1129
CAN 1;In;0x101;134;351.0653;8;00;0D;58;05;20;FE;38;41;0.1130
CAN 1;In;0x201;134;351.0660;8;00;0D;B7;00;04;FF;F1;FF;0.1129
CAN 1;In;0x101;135;351.1784;8;F1;0C;50;05;6C;FE;04;41;0.1131
CAN 1;In;0x201;135;351.1792;8;F1;0C;B5;00;17;FF;F2;FF;0.1132
CAN 1;In;0x101;136;351.2914;8;00;0D;24;05;E0;FE;5C;41;0.1130
CAN 1;In;0x201;136;351.2922;8;00;0D;95;00;16;FF;F9;FF;0.1130
CAN 1;In;0x101;137;351.4043;8;00;0D;40;05;D8;FE;AC;40;0.1128
CAN 1;In;0x201;137;351.4049;8;00;0D;95;00;17;FF;EF;FF;0.1127
CAN 1;In;0x101;138;351.5224;8;F1;0C;C4;04;08;FF;2C;41;0.1182
CAN 1;In;0x201;138;351.5469;8;F1;0C;A9;00;03;FF;EB;FF;0.1421
CAN 1;In;0x101;139;351.6273;8;F0;0C;48;05;CC;FE;1C;41;0.1049
CAN 1;In;0x201;139;351.6280;8;F0;0C;9E;00;1A;FF;F7;FF;0.0811
CAN 1;In;0x101;140;351.7405;8;F0;0C;F0;04;DC;FE;D8;40;0.1132
CAN 1;In;0x201;140;351.7412;8;F0;0C;A3;00;15;FF;FF;FF;0.1132
CAN 1;In;0x101;141;351.8531;8;F1;0C;3C;05;AC;FE;78;41;0.1127
CAN 1;In;0x201;141;351.8539;8;F1;0C;AF;00;20;FF;EA;FF;0.1127
CAN 1;In;0x101;142;351.9663;8;F1;0C;1C;05;8C;FE;D0;40;0.1131
CAN 1;In;0x201;142;351.9670;8;F1;0C;97;00;0D;FF;FB;FF;0.1131
CAN 1;In;0x101;143;352.0790;8;00;0D;04;05;90;FE;A4;40;0.1127
CAN 1;In;0x201;143;352.0798;8;00;0D;A3;00;0F;FF;F4;FF;0.1128
CAN 1;In;0x101;144;352.1923;8;F1;0C;14;05;F8;FE;B0;40;0.1132
CAN 1;In;0x201;144;352.1930;8;F1;0C;A2;00;03;FF;F3;FF;0.1131
CAN 1;In;0x101;145;352.3055;8;F0;0C;F8;04;3C;FE;00;41;0.1132
CAN 1;In;0x201;145;352.3059;8;F0;0C;AA;00;17;FF;01;00;0.1129
CAN 1;In;0x101;146;352.4181;8;F1;0C;40;05;BC;FE;A8;41;0.1126
CAN 1;In;0x201;146;352.4188;8;F1;0C;95;00;19;FF;FF;FF;0.1129
CAN 1;In;0x101;147;352.5311;8;F1;0C;18;05;B8;FE;14;41;0.1130
CAN 1;In;0x201;147;352.5318;8;F1;0C;AF;00;04;FF;00;00;0.1130
CAN 1;In;0x101;148;352.6440;8;F1;0C;C8;04;68;FE;A8;40;0.1129
CAN 1;In;0x201;148;352.6448;8;F1;0C;B7;00;18;FF;E7;FF;0.1130
